ID   Tool Name                     Price/e   Qty.      Total Sale  Sold At            
13   Electric Screw Driver         9000      1         9000        21/1/2021--1:57:20 
36   Hammer 2kg                    2200      1         2200        21/1/2021--18:11:28
50   Nails large                   2         50        100         22/1/2021--0:16:50 
50   Nails large                   2         20        40          22/1/2021--23:14:53
3    Scissor Small                 140       3         420         22/1/2021--23:15:17
17   Pneumatic Wheel               2800      2         5600        22/1/2021--23:15:42
12   Glue Gun                      900       1         900         22/1/2021--23:16:1 
15   Safety Goggles                660       1         660         22/1/2021--23:16:25
9    Measuring Tape                320       1         320         22/1/2021--23:16:44
5    Tool Bag                      2000      5         10000       22/1/2021--23:17:19
36   Hammer 2kg                    2200      1         2200        22/1/2021--23:17:56
20   Screws small                  4         50        200         22/1/2021--23:54:41
50   Nails large                   2         30        60          22/1/2021--23:57:2 
1    Hammer 300g                   400       1         400         22/1/2021--23:58:49
6    Spanner Set                   3300      1         3300        23/1/2021--14:55:42
18   Safety Helmat                 2200      1         2200        23/1/2021--14:57:21
2    Screw Driver                  270       1         270         29/1/2021--23:44:24
